         18642 function calls (18629 primitive calls) in 0.009 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 {built-in method builtins.exec}
        1    0.000    0.000    0.009    0.009 main.py:1(<module>)
        1    0.000    0.000    0.008    0.008 main.py:150(main)
        1    0.000    0.000    0.007    0.007 main.py:119(compute_similarity)
        1    0.001    0.001    0.006    0.006 main.py:79(cosine_similarity)
        3    0.001    0.000    0.002    0.001 {built-in method builtins.sum}
        1    0.000    0.000    0.001    0.001 __init__.py:287(compile)
        1    0.000    0.000    0.001    0.001 __init__.py:330(_compile)
        2    0.001    0.001    0.001    0.001 main.py:56(get_ngrams)
        1    0.000    0.000    0.001    0.001 _compiler.py:757(compile)
        2    0.000    0.000    0.001    0.001 __init__.py:605(__init__)
        2    0.000    0.000    0.001    0.001 __init__.py:682(update)
        1    0.000    0.000    0.001    0.001 _compiler.py:590(_code)
        2    0.001    0.001    0.001    0.001 {built-in method _collections._count_elements}
        2    0.001    0.001    0.001    0.001 _compiler.py:248(_optimize_charset)
        3    0.001    0.000    0.001    0.000 {built-in method _io.open}
        2    0.000    0.000    0.001    0.000 main.py:23(read_file)
        1    0.000    0.000    0.001    0.001 _compiler.py:525(_compile_info)
        1    0.000    0.000    0.001    0.001 main.py:138(write_answer)
        2    0.000    0.000    0.001    0.000 main.py:40(preprocess)
        2    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
     4633    0.000    0.000    0.000    0.000 main.py:110(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compiler.py:39(_compile)
     8098    0.000    0.000    0.000    0.000 main.py:114(<genexpr>)
     5558    0.000    0.000    0.000    0.000 main.py:113(<genexpr>)
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1360(_find_and_load)
        1    0.000    0.000    0.000    0.000 _parser.py:963(parse)
        1    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
        2    0.000    0.000    0.000    0.000 <frozen codecs>:322(decode)
        1    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
